#,Player,GP,W,L,T,GA,GAA,SO,team_id,season_id,label,scraped_at,source
1,Dan Swinden,24,9,15,0,96,4.0,1,25649,163,VS - E,2026-07-23T17:04:08.529185+00:00,NCHL
0,Bruce So,3,1,2,0,13,4.33,0,25649,163,VS - E,2026-07-23T17:04:08.529185+00:00,NCHL
34,Sara Far,2,0,3,0,16,8.0,0,25649,163,VS - E,2026-07-23T17:04:08.529185+00:00,NCHL
32,Cale Tamagi,1,1,0,0,1,1.0,0,25649,163,VS - E,2026-07-23T17:04:08.529185+00:00,NCHL
1,Dan Swinden,3,2,1,0,7,2.33,0,25649,164,VS - E,2026-07-23T17:04:11.776344+00:00,NCHL
49,Nat Couzins,8,0,6,2,37,4.63,0,25649,165,VS - E,2026-07-23T17:04:14.925231+00:00,NCHL
0,Dan Swinden,2,0,1,1,9,4.5,0,25649,165,VS - E,2026-07-23T17:04:14.925231+00:00,NCHL
1,Bruce So,1,1,0,0,2,2.0,0,25649,165,VS - E,2026-07-23T17:04:14.925231+00:00,NCHL
90,Kristian Sandlands,1,1,0,0,1,1.0,0,25649,165,VS - E,2026-07-23T17:04:14.925231+00:00,NCHL
0,Dan Swinden,0,0,0,0,0,0.0,0,25649,166,VS - E,2026-07-23T17:04:18.046422+00:00,NCHL
1,Bruce So,0,0,0,0,0,0.0,0,25649,166,VS - E,2026-07-23T17:04:18.046422+00:00,NCHL
49,Nat Couzins,0,0,0,0,0,0.0,0,25649,166,VS - E,2026-07-23T17:04:18.046422+00:00,NCHL
90,Kristian Sandlands,0,0,0,0,0,0.0,0,25649,166,VS - E,2026-07-23T17:04:18.046422+00:00,NCHL
34,Sara Far,21,4,17,0,128,6.1,0,25655,163,VS - F,2026-07-23T17:04:21.186094+00:00,NCHL
1,Dan Swinden,5,1,4,0,14,2.8,1,25655,163,VS - F,2026-07-23T17:04:21.186094+00:00,NCHL
31,Bruce So,2,1,0,1,6,3.0,0,25655,163,VS - F,2026-07-23T17:04:21.186094+00:00,NCHL
0,Christian McKeen,1,1,0,0,1,1.0,0,25655,163,VS - F,2026-07-23T17:04:21.186094+00:00,NCHL
33,Matt Potter,1,0,1,0,6,6.0,0,25655,163,VS - F,2026-07-23T17:04:21.186094+00:00,NCHL
31,Bruce So (SPARE),1,0,1,0,6,6.0,0,25655,164,VS - F,2026-07-23T17:04:24.314405+00:00,NCHL
34,Sara Far,0,0,0,0,0,0.0,0,25655,164,VS - F,2026-07-23T17:04:24.314405+00:00,NCHL
34,Sara Far,9,8,1,0,30,3.33,0,25655,165,VS - F,2026-07-23T17:04:27.474758+00:00,NCHL
49,Nathaniel Couzens,2,1,1,0,9,4.5,0,25655,165,VS - F,2026-07-23T17:04:27.474758+00:00,NCHL
0,Dan Swinden,1,1,0,0,3,3.0,0,25655,165,VS - F,2026-07-23T17:04:27.474758+00:00,NCHL
0,Dan Swinden,0,0,0,0,0,0.0,0,25655,166,VS - F,2026-07-23T17:04:30.604311+00:00,NCHL
34,Sara Far,0,0,0,0,0,0.0,0,25655,166,VS - F,2026-07-23T17:04:30.604311+00:00,NCHL
49,Nathaniel Couzens,0,0,0,0,0,0.0,0,25655,166,VS - F,2026-07-23T17:04:30.604311+00:00,NCHL
49,Nathanial Couzens,28,16,10,2,99,3.54,3,28185,163,VS - G,2026-07-23T17:04:33.731951+00:00,NCHL
0,Bruce So,2,0,2,0,15,7.5,0,28185,163,VS - G,2026-07-23T17:04:33.731951+00:00,NCHL
49,Nathanial Couzens,1,0,1,0,6,6.0,0,28185,164,VS - G,2026-07-23T17:04:36.847846+00:00,NCHL
1,Bruce So,4,3,1,0,6,1.5,0,28185,165,VS - G,2026-07-23T17:04:40.054661+00:00,NCHL
42,Jeff Dudder,4,2,2,0,11,2.75,0,28185,165,VS - G,2026-07-23T17:04:40.054661+00:00,NCHL
34,Sara Far,1,1,0,0,3,3.0,0,28185,165,VS - G,2026-07-23T17:04:40.054661+00:00,NCHL
49,Nathanial Couzens,1,1,0,0,1,1.0,0,28185,165,VS - G,2026-07-23T17:04:40.054661+00:00,NCHL
1,Bruce So,0,0,0,0,0,0.0,0,28185,166,VS - G,2026-07-23T17:04:43.178714+00:00,NCHL
34,Sara Far,0,0,0,0,0,0.0,0,28185,166,VS - G,2026-07-23T17:04:43.178714+00:00,NCHL
42,Jeff Dudder,0,0,0,0,0,0.0,0,28185,166,VS - G,2026-07-23T17:04:43.178714+00:00,NCHL
49,Nathanial Couzens,0,0,0,0,0,0.0,0,28185,166,VS - G,2026-07-23T17:04:43.178714+00:00,NCHL
31,Bruce So,25,17,7,1,65,2.6,3,30960,163,VS - H,2026-07-23T17:04:46.386841+00:00,NCHL
0,Dan Swindon,2,1,1,0,3,1.5,1,30960,163,VS - H,2026-07-23T17:04:46.386841+00:00,NCHL
1,Matt Potter,2,2,0,0,2,1.0,0,30960,163,VS - H,2026-07-23T17:04:46.386841+00:00,NCHL
0,Matt Preston,1,1,0,0,4,4.0,0,30960,163,VS - H,2026-07-23T17:04:46.386841+00:00,NCHL
31,Bruce So,5,3,2,0,15,3.0,0,30960,164,VS - H,2026-07-23T17:04:49.497122+00:00,NCHL
0,Matthew Matas,1,0,1,0,5,5.0,0,10828,113,VS - B,2026-07-23T17:06:59.371501+00:00,WRAHL
0,Cale Tamagi,1,0,1,0,5,5.0,0,10828,113,VS - B,2026-07-23T17:06:59.371501+00:00,WRAHL
33,Matthew Matas,26,17,9,0,108,4.15,0,10828,114,VS - B,2026-07-23T17:07:02.526300+00:00,WRAHL
0,Matt Potter,2,2,0,0,6,3.0,0,10828,114,VS - B,2026-07-23T17:07:02.526300+00:00,WRAHL
0,Noah Clason,1,0,1,0,5,5.0,0,10828,114,VS - B,2026-07-23T17:07:02.526300+00:00,WRAHL
0,Christian McKeen,1,0,1,0,6,6.0,0,10828,114,VS - B,2026-07-23T17:07:02.526300+00:00,WRAHL
33,Matthew Matas,2,1,1,0,7,3.5,0,10828,117,VS - B,2026-07-23T17:07:05.647736+00:00,WRAHL
0,Stu Karol,1,0,1,0,3,3.0,0,10828,117,VS - B,2026-07-23T17:07:05.647736+00:00,WRAHL
0,Noah Clason,0,0,0,0,0,0.0,0,10828,117,VS - B,2026-07-23T17:07:05.647736+00:00,WRAHL
0,Christian McKeen,0,0,0,0,0,0.0,0,10828,117,VS - B,2026-07-23T17:07:05.647736+00:00,WRAHL
0,Matt Potter,0,0,0,0,0,0.0,0,10828,117,VS - B,2026-07-23T17:07:05.647736+00:00,WRAHL
1,Colton Arthurs,9,3,6,0,60,6.67,1,10828,118,VS - B,2026-07-23T17:07:08.748984+00:00,WRAHL
0,Christian McKeen,1,0,1,0,11,11.0,0,10828,118,VS - B,2026-07-23T17:07:08.748984+00:00,WRAHL
33,Matthew Matas,1,0,1,0,10,10.0,0,10828,118,VS - B,2026-07-23T17:07:08.748984+00:00,WRAHL
0,Christian McKeen,0,0,0,0,0,0.0,0,10828,119,VS - B,2026-07-23T17:07:11.871080+00:00,WRAHL
1,Colton Arthurs,0,0,0,0,0,0.0,0,10828,119,VS - B,2026-07-23T17:07:11.871080+00:00,WRAHL
33,Matthew Matas,0,0,0,0,0,0.0,0,10828,119,VS - B,2026-07-23T17:07:11.871080+00:00,WRAHL
7,Zee Hamilton,1,0,1,0,13,13.0,0,11835,113,VS - A,2026-07-23T17:07:15.007620+00:00,WRAHL
7,Zee Hamilton,28,6,22,0,260,9.29,0,11835,114,VS - A,2026-07-23T17:07:18.122925+00:00,WRAHL
0,Matt Potter,1,0,1,0,12,12.0,0,11835,114,VS - A,2026-07-23T17:07:18.122925+00:00,WRAHL
0,Chaz Anderson,1,0,1,0,10,10.0,0,11835,114,VS - A,2026-07-23T17:07:18.122925+00:00,WRAHL
0,Matt Potter,0,0,0,0,0,0.0,0,11835,117,VS - A,2026-07-23T17:07:21.239788+00:00,WRAHL
0,Chaz Anderson,0,0,0,0,0,0.0,0,11835,117,VS - A,2026-07-23T17:07:21.239788+00:00,WRAHL
7,Zee Hamilton,0,0,0,0,0,0.0,0,11835,117,VS - A,2026-07-23T17:07:21.239788+00:00,WRAHL
1,Zee Hamilton,19,11,8,0,146,7.68,0,3020,64,VS - A,2026-07-23T17:07:24.637284+00:00,ASUMMERHL
33,Matt Potter,7,2,2,3,48,6.86,0,3020,64,VS - A,2026-07-23T17:07:24.637284+00:00,ASUMMERHL
33,Adam Marcoux,2,1,1,0,13,6.5,0,3020,64,VS - A,2026-07-23T17:07:24.637284+00:00,ASUMMERHL
